Hippocampome v1.0

Number of lines:
3235

Start node ID	Start node #	End node ID	End Node #

1000	0	1041	1
1000	0	1002	3
1000	0	1043	4
1000	0	1027	5
1000	0	1010	6
1000	0	1035	7
1000	0	1036	8
1000	0	1009	9
1000	0	1013	10
1000	0	1026	11
1000	0	1005	13
1000	0	1006	16
1000	0	1004	17
1000	0	2000	18
1000	0	2004	19
1000	0	2028	22
1000	0	2043	24
1000	0	2044	25
1000	0	2045	26
1000	0	2042	28
1000	0	2046	29
1000	0	2005	30
1000	0	2017	31
1000	0	2013	32
1000	0	2014	33
1000	0	2019	34
1000	0	2035	36
1000	0	2049	38
1000	0	3000	43
1000	0	3006	44
1000	0	3007	45
1000	0	3003	46
1000	0	3008	47
1041	1	1041	1
1041	1	1002	3
1041	1	1043	4
1041	1	1027	5
1041	1	1010	6
1041	1	1035	7
1041	1	1036	8
1041	1	1009	9
1041	1	1013	10
1041	1	1026	11
1041	1	1005	13
1041	1	1006	16
1041	1	1004	17
1041	1	2000	18
1041	1	2004	19
1041	1	2028	22
1041	1	2043	24
1041	1	2044	25
1041	1	2045	26
1041	1	2042	28
1041	1	2046	29
1041	1	2005	30
1041	1	2017	31
1041	1	2013	32
1041	1	2014	33
1041	1	2019	34
1041	1	2036	35
1041	1	2035	36
1041	1	2049	38
1001	2	1000	0
1001	2	1041	1
1001	2	1001	2
1001	2	1002	3
1001	2	1043	4
1001	2	1027	5
1001	2	1010	6
1001	2	1035	7
1001	2	1036	8
1001	2	1009	9
1001	2	1013	10
1001	2	1026	11
1001	2	1040	12
1001	2	1005	13
1001	2	1006	16
1001	2	1004	17
1001	2	2000	18
1001	2	2004	19
1001	2	2028	22
1001	2	2043	24
1001	2	2044	25
1001	2	2045	26
1001	2	2042	28
1001	2	2046	29
1001	2	2005	30
1001	2	2017	31
1001	2	2013	32
1001	2	2014	33
1001	2	2019	34
1001	2	2036	35
1001	2	2035	36
1001	2	2049	38
1002	3	1000	0
1002	3	1041	1
1002	3	1001	2
1002	3	1002	3
1002	3	1043	4
1002	3	1027	5
1002	3	1010	6
1002	3	1035	7
1002	3	1036	8
1002	3	1009	9
1002	3	1013	10
1002	3	1026	11
1002	3	1040	12
1002	3	1005	13
1002	3	1006	16
1002	3	1004	17
1002	3	2042	28
1043	4	1000	0
1043	4	1041	1
1043	4	1001	2
1043	4	1002	3
1043	4	1043	4
1043	4	1027	5
1043	4	1010	6
1043	4	1035	7
1043	4	1036	8
1043	4	1009	9
1043	4	1013	10
1043	4	1026	11
1043	4	1040	12
1043	4	1005	13
1043	4	1006	16
1043	4	1004	17
1043	4	2042	28
1027	5	1000	0
1027	5	1041	1
1027	5	1001	2
1027	5	1002	3
1027	5	1043	4
1027	5	1027	5
1027	5	1010	6
1027	5	1035	7
1027	5	1036	8
1027	5	1009	9
1027	5	1013	10
1027	5	1026	11
1027	5	1040	12
1027	5	1005	13
1027	5	1006	16
1027	5	1004	17
1027	5	2042	28
1010	6	1000	0
1010	6	1041	1
1010	6	1002	3
1010	6	1043	4
1035	7	1000	0
1035	7	1010	6
1035	7	1035	7
1035	7	1036	8
1035	7	1009	9
1035	7	1013	10
1035	7	1040	12
1035	7	1005	13
1035	7	1006	16
1035	7	1004	17
1036	8	1000	0
1036	8	1010	6
1036	8	1035	7
1036	8	1036	8
1036	8	1009	9
1036	8	1013	10
1036	8	1040	12
1036	8	1005	13
1036	8	1006	16
1036	8	1004	17
1009	9	1000	0
1009	9	1041	1
1009	9	1001	2
1009	9	1043	4
1009	9	1027	5
1009	9	1010	6
1009	9	1035	7
1009	9	1036	8
1009	9	1009	9
1009	9	1026	11
1009	9	1040	12
1009	9	1005	13
1009	9	1006	16
1009	9	1004	17
1013	10	1000	0
1013	10	1041	1
1013	10	1001	2
1013	10	1043	4
1013	10	1027	5
1013	10	1010	6
1013	10	1035	7
1013	10	1036	8
1013	10	1009	9
1013	10	1005	13
1013	10	1008	14
1013	10	1007	15
1013	10	1006	16
1013	10	1004	17
1013	10	4011	69
1026	11	1000	0
1026	11	1041	1
1026	11	1001	2
1026	11	1002	3
1026	11	1043	4
1026	11	1027	5
1026	11	1010	6
1026	11	1035	7
1026	11	1036	8
1026	11	1009	9
1026	11	1013	10
1026	11	1026	11
1026	11	1040	12
1026	11	1005	13
1026	11	1008	14
1026	11	1007	15
1026	11	1006	16
1026	11	1004	17
1026	11	2000	18
1026	11	2004	19
1026	11	2003	20
1026	11	2001	21
1026	11	2028	22
1026	11	2047	23
1026	11	2043	24
1026	11	2044	25
1026	11	2045	26
1026	11	2021	27
1026	11	2042	28
1026	11	2046	29
1026	11	2005	30
1026	11	2017	31
1026	11	2013	32
1026	11	2014	33
1026	11	2019	34
1026	11	2036	35
1026	11	2035	36
1026	11	2009	37
1026	11	2049	38
1026	11	2023	39
1026	11	2008	40
1026	11	2022	41
1026	11	2020	42
1026	11	3007	45
1026	11	4011	69
1040	12	1000	0
1040	12	1041	1
1040	12	1001	2
1040	12	1002	3
1040	12	1043	4
1040	12	1027	5
1040	12	1010	6
1040	12	1035	7
1040	12	1036	8
1040	12	1009	9
1040	12	1013	10
1040	12	1026	11
1040	12	1040	12
1040	12	1005	13
1040	12	1006	16
1040	12	1004	17
1040	12	2042	28
1005	13	1000	0
1005	13	1041	1
1005	13	1001	2
1005	13	1043	4
1005	13	1027	5
1005	13	1010	6
1005	13	1035	7
1005	13	1036	8
1005	13	1009	9
1005	13	1026	11
1005	13	1040	12
1005	13	1005	13
1005	13	1008	14
1005	13	1007	15
1005	13	1006	16
1005	13	1004	17
1005	13	4011	69
1008	14	1000	0
1008	14	1041	1
1008	14	1001	2
1008	14	1043	4
1008	14	1027	5
1008	14	1010	6
1008	14	1035	7
1008	14	1036	8
1008	14	1009	9
1008	14	1005	13
1008	14	1008	14
1008	14	1007	15
1008	14	1006	16
1008	14	1004	17
1008	14	4011	69
1007	15	1000	0
1007	15	1041	1
1007	15	1001	2
1007	15	1043	4
1007	15	1027	5
1007	15	1010	6
1007	15	1035	7
1007	15	1036	8
1007	15	1009	9
1007	15	1005	13
1007	15	1008	14
1007	15	1007	15
1007	15	1006	16
1007	15	1004	17
1007	15	4011	69
1007	15	5001	88
1007	15	5005	89
1007	15	5002	90
1006	16	1000	0
1006	16	1041	1
1006	16	1001	2
1006	16	1043	4
1006	16	1027	5
1006	16	1010	6
1006	16	1035	7
1006	16	1036	8
1006	16	1009	9
1006	16	1005	13
1006	16	1008	14
1006	16	1007	15
1006	16	1006	16
1006	16	1004	17
1006	16	4011	69
